# energy_eV    eps2_arb    eps2_normalised
1.915346e+00 2.769626e+00 1.920660e-02
1.916597e+00 2.846105e+00 1.973697e-02
1.917848e+00 2.926123e+00 2.029186e-02
1.919099e+00 3.009902e+00 2.087285e-02
1.920350e+00 3.097685e+00 2.148160e-02
1.921601e+00 3.189732e+00 2.211992e-02
1.922852e+00 3.286327e+00 2.278979e-02
1.924103e+00 3.387777e+00 2.349331e-02
1.925354e+00 3.494413e+00 2.423280e-02
1.926606e+00 3.606598e+00 2.501077e-02
1.927857e+00 3.724723e+00 2.582994e-02
1.929108e+00 3.849219e+00 2.669328e-02
1.930359e+00 3.980551e+00 2.760404e-02
1.931610e+00 4.119230e+00 2.856574e-02
1.932861e+00 4.265815e+00 2.958226e-02
1.934112e+00 4.420917e+00 3.065785e-02
1.935363e+00 4.585207e+00 3.179716e-02
1.936614e+00 4.759424e+00 3.300531e-02
1.937865e+00 4.944380e+00 3.428793e-02
1.939116e+00 5.140972e+00 3.565124e-02
1.940367e+00 5.350188e+00 3.710210e-02
1.941618e+00 5.573125e+00 3.864811e-02
1.942869e+00 5.810999e+00 4.029769e-02
1.944120e+00 6.065158e+00 4.206022e-02
1.945371e+00 6.337105e+00 4.394610e-02
1.946622e+00 6.628517e+00 4.596697e-02
1.947873e+00 6.941268e+00 4.813581e-02
1.949124e+00 7.277456e+00 5.046718e-02
1.950375e+00 7.639437e+00 5.297742e-02
1.951626e+00 8.029863e+00 5.568492e-02
1.952877e+00 8.451723e+00 5.861040e-02
1.954128e+00 8.908398e+00 6.177731e-02
1.955379e+00 9.403716e+00 6.521221e-02
1.956631e+00 9.942027e+00 6.894525e-02
1.957882e+00 1.052829e+01 7.301079e-02
1.959133e+00 1.116814e+01 7.744803e-02
1.960384e+00 1.186807e+01 8.230181e-02
1.961635e+00 1.263548e+01 8.762359e-02
1.962886e+00 1.347890e+01 9.347251e-02
1.964137e+00 1.440816e+01 9.991668e-02
1.965388e+00 1.543460e+01 1.070348e-01
1.966639e+00 1.657134e+01 1.149177e-01
